customer_id,total_spent,transaction_count,avg_transaction,response,customer_segment
CS1112,1012,15,67.46666666666667,0.0,Medium Value
CS1113,1490,20,74.5,0.0,Medium Value
CS1114,1432,19,75.36842105263158,1.0,Medium Value
CS1115,1659,22,75.4090909090909,1.0,Medium Value
CS1116,857,13,65.92307692307692,1.0,Medium Value
CS1117,1185,17,69.70588235294117,0.0,Medium Value
CS1118,1011,15,67.4,1.0,Medium Value
CS1119,1158,15,77.2,0.0,Medium Value
CS1120,1677,24,69.875,0.0,Medium Value
CS1121,1524,26,58.61538461538461,0.0,Medium Value
CS1122,1156,16,72.25,0.0,Medium Value
CS1123,1331,19,70.05263157894737,0.0,Medium Value
CS1124,1127,18,62.611111111111114,0.0,Medium Value
CS1125,885,12,73.75,0.0,Medium Value
CS1126,1165,19,61.31578947368421,0.0,Medium Value
CS1127,1676,24,69.83333333333333,0.0,Medium Value
CS1128,1921,26,73.88461538461539,0.0,Medium Value
CS1129,853,12,71.08333333333333,0.0,Medium Value
CS1130,1185,19,62.36842105263158,0.0,Medium Value
CS1131,998,14,71.28571428571429,0.0,Medium Value
CS1132,1074,16,67.125,0.0,Medium Value
CS1133,1413,19,74.36842105263158,0.0,Medium Value
CS1134,1166,16,72.875,0.0,Medium Value
CS1135,1267,20,63.35,1.0,Medium Value
CS1136,1339,20,66.95,0.0,Medium Value
CS1137,1380,20,69.0,0.0,Medium Value
CS1138,1863,24,77.625,0.0,Medium Value
CS1139,1245,18,69.16666666666667,0.0,Medium Value
CS1140,1434,20,71.7,0.0,Medium Value
CS1141,1778,25,71.12,1.0,Medium Value
CS1142,1847,22,83.95454545454545,1.0,Medium Value
CS1143,1255,16,78.4375,1.0,Medium Value
CS1144,1222,18,67.88888888888889,0.0,Medium Value
CS1145,1967,27,72.85185185185185,1.0,Medium Value
CS1146,1117,16,69.8125,0.0,Medium Value
CS1147,1004,15,66.93333333333334,0.0,Medium Value
CS1148,1733,25,69.32,1.0,Medium Value
CS1149,1768,25,70.72,0.0,Medium Value
CS1150,1075,14,76.78571428571429,0.0,Medium Value
CS1151,1040,16,65.0,0.0,Medium Value
CS1152,1457,20,72.85,0.0,Medium Value
CS1153,1274,18,70.77777777777777,0.0,Medium Value
CS1154,1436,23,62.43478260869565,0.0,Medium Value
CS1155,1317,19,69.3157894736842,0.0,Medium Value
CS1156,1445,20,72.25,0.0,Medium Value
CS1157,1427,21,67.95238095238095,0.0,Medium Value
CS1158,1159,18,64.38888888888889,0.0,Medium Value
CS1159,1439,22,65.4090909090909,0.0,Medium Value
CS1160,1380,20,69.0,1.0,Medium Value
CS1161,1389,22,63.13636363636363,0.0,Medium Value
CS1162,1815,24,75.625,0.0,Medium Value
CS1163,1290,18,71.66666666666667,0.0,Medium Value
CS1164,2037,26,78.34615384615384,0.0,High Value
CS1165,1335,20,66.75,0.0,Medium Value
CS1166,1507,19,79.3157894736842,0.0,Medium Value
CS1167,1132,16,70.75,1.0,Medium Value
CS1168,916,14,65.42857142857143,0.0,Medium Value
CS1169,1175,18,65.27777777777777,0.0,Medium Value
CS1170,1272,18,70.66666666666667,0.0,Medium Value
CS1171,1555,22,70.68181818181819,0.0,Medium Value
CS1172,1306,18,72.55555555555556,1.0,Medium Value
CS1173,1429,21,68.04761904761905,1.0,Medium Value
CS1174,1554,23,67.56521739130434,0.0,Medium Value
CS1175,1106,17,65.05882352941177,0.0,Medium Value
CS1176,1401,18,77.83333333333333,0.0,Medium Value
CS1177,1310,17,77.05882352941177,0.0,Medium Value
CS1178,1535,22,69.77272727272727,0.0,Medium Value
CS1179,2091,29,72.10344827586206,0.0,High Value
CS1180,1637,23,71.17391304347827,0.0,Medium Value
CS1181,1893,27,70.11111111111111,0.0,Medium Value
CS1182,1749,24,72.875,1.0,Medium Value
CS1183,1967,26,75.65384615384616,0.0,Medium Value
CS1184,1999,28,71.39285714285714,0.0,Medium Value
CS1185,1801,27,66.70370370370371,0.0,Medium Value
CS1186,1439,19,75.73684210526316,0.0,Medium Value
CS1187,1559,22,70.86363636363636,0.0,Medium Value
CS1188,1010,16,63.125,0.0,Medium Value
CS1189,1564,23,68.0,0.0,Medium Value
CS1190,1324,18,73.55555555555556,0.0,Medium Value
CS1191,1522,21,72.47619047619048,1.0,Medium Value
CS1192,1313,18,72.94444444444444,0.0,Medium Value
CS1193,953,15,63.53333333333333,0.0,Medium Value
CS1194,1505,22,68.4090909090909,0.0,Medium Value
CS1195,1378,20,68.9,0.0,Medium Value
CS1196,1559,23,67.78260869565217,0.0,Medium Value
CS1197,1180,17,69.41176470588235,0.0,Medium Value
CS1198,1571,22,71.4090909090909,0.0,Medium Value
CS1199,1344,20,67.2,0.0,Medium Value
CS1200,1667,21,79.38095238095238,0.0,Medium Value
CS1201,1375,19,72.36842105263158,0.0,Medium Value
CS1202,1331,20,66.55,0.0,Medium Value
CS1203,1536,21,73.14285714285714,1.0,Medium Value
CS1204,1023,17,60.1764705882353,0.0,Medium Value
CS1205,1103,17,64.88235294117646,0.0,Medium Value
CS1206,1514,24,63.083333333333336,0.0,Medium Value
CS1207,1310,18,72.77777777777777,0.0,Medium Value
CS1208,1000,15,66.66666666666667,0.0,Medium Value
CS1209,1809,27,67.0,0.0,Medium Value
CS1210,1546,21,73.61904761904762,0.0,Medium Value
CS1211,1218,18,67.66666666666667,0.0,Medium Value
CS1212,1200,17,70.58823529411765,0.0,Medium Value
CS1213,1191,18,66.16666666666667,0.0,Medium Value
CS1214,1289,19,67.84210526315789,0.0,Medium Value
CS1215,2362,35,67.48571428571428,0.0,High Value
CS1216,1798,24,74.91666666666667,0.0,Medium Value
CS1217,1431,20,71.55,0.0,Medium Value
CS1218,1687,24,70.29166666666667,0.0,Medium Value
CS1219,1447,21,68.9047619047619,0.0,Medium Value
CS1220,720,9,80.0,0.0,Medium Value
CS1221,1372,19,72.21052631578948,0.0,Medium Value
CS1222,1585,21,75.47619047619048,0.0,Medium Value
CS1223,1299,17,76.41176470588235,0.0,Medium Value
CS1224,578,8,72.25,0.0,Medium Value
CS1225,999,17,58.76470588235294,0.0,Medium Value
CS1226,1213,18,67.38888888888889,0.0,Medium Value
CS1227,1783,27,66.03703703703704,0.0,Medium Value
CS1228,1368,19,72.0,0.0,Medium Value
CS1229,1194,19,62.8421052631579,0.0,Medium Value
CS1230,1415,20,70.75,0.0,Medium Value
CS1231,1750,23,76.08695652173913,0.0,Medium Value
CS1232,1452,20,72.6,0.0,Medium Value
CS1233,1374,21,65.42857142857143,1.0,Medium Value
CS1234,1349,21,64.23809523809524,0.0,Medium Value
CS1235,1507,22,68.5,1.0,Medium Value
CS1236,1668,22,75.81818181818181,0.0,Medium Value
CS1237,1823,24,75.95833333333333,0.0,Medium Value
CS1238,1808,26,69.53846153846153,0.0,Medium Value
CS1239,771,11,70.0909090909091,0.0,Medium Value
CS1240,2126,30,70.86666666666666,0.0,High Value
CS1241,1818,27,67.33333333333333,0.0,Medium Value
CS1242,943,13,72.53846153846153,0.0,Medium Value
CS1243,1087,17,63.94117647058823,0.0,Medium Value
CS1244,1492,21,71.04761904761905,0.0,Medium Value
CS1245,1321,19,69.52631578947368,0.0,Medium Value
CS1246,1431,20,71.55,0.0,Medium Value
CS1247,1773,28,63.32142857142857,1.0,Medium Value
CS1248,1172,17,68.94117647058823,0.0,Medium Value
CS1249,1846,23,80.26086956521739,0.0,Medium Value
CS1250,1625,24,67.70833333333333,0.0,Medium Value
CS1251,1035,14,73.92857142857143,0.0,Medium Value
CS1252,1411,18,78.38888888888889,0.0,Medium Value
CS1253,1399,17,82.29411764705883,1.0,Medium Value
CS1254,1599,21,76.14285714285714,0.0,Medium Value
CS1255,1998,29,68.89655172413794,0.0,Medium Value
CS1256,1304,19,68.63157894736842,0.0,Medium Value
CS1257,1050,15,70.0,0.0,Medium Value
CS1258,1458,22,66.27272727272727,0.0,Medium Value
CS1259,1679,22,76.31818181818181,1.0,Medium Value
CS1260,1941,26,74.65384615384616,0.0,Medium Value
CS1261,1943,26,74.73076923076923,0.0,Medium Value
CS1262,1040,16,65.0,0.0,Medium Value
CS1263,1096,14,78.28571428571429,0.0,Medium Value
CS1264,959,12,79.91666666666667,0.0,Medium Value
CS1265,1128,14,80.57142857142857,0.0,Medium Value
CS1266,1076,15,71.73333333333333,0.0,Medium Value
CS1267,1812,26,69.6923076923077,0.0,Medium Value
CS1268,1946,27,72.07407407407408,0.0,Medium Value
CS1269,1272,19,66.94736842105263,0.0,Medium Value
CS1270,1990,27,73.70370370370371,0.0,Medium Value
CS1271,1683,25,67.32,0.0,Medium Value
CS1272,1279,19,67.3157894736842,0.0,Medium Value
CS1273,1800,25,72.0,0.0,Medium Value
CS1274,1381,20,69.05,0.0,Medium Value
CS1275,1321,18,73.38888888888889,0.0,Medium Value
CS1276,1505,21,71.66666666666667,0.0,Medium Value
CS1277,1142,17,67.17647058823529,0.0,Medium Value
CS1278,1572,22,71.45454545454545,0.0,Medium Value
CS1279,1411,21,67.19047619047619,0.0,Medium Value
CS1280,1262,21,60.095238095238095,0.0,Medium Value
CS1281,1715,23,74.56521739130434,0.0,Medium Value
CS1282,1014,15,67.6,0.0,Medium Value
CS1283,1683,22,76.5,0.0,Medium Value
CS1284,1836,24,76.5,0.0,Medium Value
CS1285,1778,24,74.08333333333333,0.0,Medium Value
CS1286,1511,21,71.95238095238095,1.0,Medium Value
CS1287,1440,20,72.0,0.0,Medium Value
CS1288,1125,17,66.17647058823529,0.0,Medium Value
CS1289,1355,19,71.3157894736842,0.0,Medium Value
CS1290,1625,20,81.25,0.0,Medium Value
CS1291,1006,15,67.06666666666666,0.0,Medium Value
CS1292,1307,18,72.61111111111111,0.0,Medium Value
CS1293,1625,21,77.38095238095238,1.0,Medium Value
CS1294,2129,30,70.96666666666667,0.0,High Value
CS1295,1487,22,67.5909090909091,0.0,Medium Value
CS1296,1505,21,71.66666666666667,0.0,Medium Value
CS1297,765,12,63.75,0.0,Medium Value
CS1298,1561,21,74.33333333333333,0.0,Medium Value
CS1299,1552,21,73.9047619047619,1.0,Medium Value
CS1300,1309,18,72.72222222222223,0.0,Medium Value
CS1301,1250,19,65.78947368421052,0.0,Medium Value
CS1302,1278,19,67.26315789473684,0.0,Medium Value
CS1303,1634,22,74.27272727272727,1.0,Medium Value
CS1304,874,15,58.266666666666666,0.0,Medium Value
CS1305,1031,16,64.4375,0.0,Medium Value
CS1306,1153,15,76.86666666666666,0.0,Medium Value
CS1307,1220,18,67.77777777777777,0.0,Medium Value
CS1308,1487,21,70.80952380952381,0.0,Medium Value
CS1309,761,12,63.416666666666664,0.0,Medium Value
CS1310,1103,15,73.53333333333333,1.0,Medium Value
CS1311,1129,18,62.72222222222222,0.0,Medium Value
CS1312,1353,16,84.5625,1.0,Medium Value
CS1313,2072,29,71.44827586206897,0.0,High Value
CS1314,891,13,68.53846153846153,0.0,Medium Value
CS1315,1030,15,68.66666666666667,0.0,Medium Value
CS1316,1726,26,66.38461538461539,0.0,Medium Value
CS1317,1146,16,71.625,0.0,Medium Value
CS1318,1693,22,76.95454545454545,0.0,Medium Value
CS1319,1161,18,64.5,0.0,Medium Value
CS1320,1382,18,76.77777777777777,0.0,Medium Value
CS1321,1668,21,79.42857142857143,0.0,Medium Value
CS1322,1964,26,75.53846153846153,0.0,Medium Value
CS1323,1595,23,69.34782608695652,0.0,Medium Value
CS1324,1611,24,67.125,1.0,Medium Value
CS1325,1209,18,67.16666666666667,0.0,Medium Value
CS1326,1940,27,71.85185185185185,0.0,Medium Value
CS1327,1525,23,66.30434782608695,0.0,Medium Value
CS1328,1043,15,69.53333333333333,0.0,Medium Value
CS1329,1158,17,68.11764705882354,0.0,Medium Value
CS1330,1750,23,76.08695652173913,0.0,Medium Value
CS1331,1170,15,78.0,0.0,Medium Value
CS1332,2010,29,69.3103448275862,0.0,High Value
CS1333,625,8,78.125,0.0,Medium Value
CS1334,1781,25,71.24,0.0,Medium Value
CS1335,1157,17,68.05882352941177,0.0,Medium Value
CS1336,1696,24,70.66666666666667,0.0,Medium Value
CS1337,1668,22,75.81818181818181,0.0,Medium Value
CS1338,1436,18,79.77777777777777,0.0,Medium Value
CS1339,1680,23,73.04347826086956,0.0,Medium Value
CS1340,1506,20,75.3,0.0,Medium Value
CS1341,1038,13,79.84615384615384,0.0,Medium Value
CS1342,1326,16,82.875,0.0,Medium Value
CS1343,1489,21,70.9047619047619,0.0,Medium Value
CS1344,1638,25,65.52,1.0,Medium Value
CS1345,1193,18,66.27777777777777,0.0,Medium Value
CS1346,1072,15,71.46666666666667,0.0,Medium Value
CS1347,2000,30,66.66666666666667,0.0,Medium Value
CS1348,1583,22,71.95454545454545,0.0,Medium Value
CS1349,1086,16,67.875,0.0,Medium Value
CS1350,1996,27,73.92592592592592,1.0,Medium Value
CS1351,1505,21,71.66666666666667,0.0,Medium Value
CS1352,1424,20,71.2,0.0,Medium Value
CS1353,1408,19,74.10526315789474,0.0,Medium Value
CS1354,1324,16,82.75,0.0,Medium Value
